Id,Date,Tsu,Vol,Location_Name,Latitude,Longitude,Focal_Depth_km,Mag,MMI_Int,Total_Deaths,Total_Injuries,Temp_C,Wind_ms,Precip_mm
us1000is4x,2015-11-24,0,0,PERU-BRAZIL,-10.77,-71.41,636,7.6,4,0,0,33.7,16.3,0.0
us7000993j,2015-11-24,0,0,PERU-BRAZIL,-10.07,-70.98,606,7.6,4,0,0,33.0,12.4,0.2
us1000hdhw,2014-09-20,0,0,PHILIPPINES:  BARANGAY LUAYON,6.864,125.233,26,5.2,5,0,1,28.9,3.8,0.7
us1000avnl,2019-07-26,0,0,PHILIPPINES:  BATANES:  ITBAYAT,20.807,121.986,10,6.0,0,9,64,0.0,0.0,0.0
usp000jvz7,2013-10-15,0,0,"PHILIPPINES:  BOHOL, CEBU, SIQUIJOR IS",9.88,124.117,19,7.1,7,222,976,32.0,8.4,12.1
usp000jek9,2012-08-31,5463,0,"PHILIPPINES:  CAGAYAN DE ORO, TACLOBAN",10.811,126.638,28,7.6,0,1,1,0.0,0.0,0.0
usp000je3w,2010-07-23,0,0,PHILIPPINES:  CELEBES SEA:  MORO GULF,6.486,123.467,586,7.6,4,0,0,0.0,0.0,0.0
usb000kiw6,2019-10-31,0,0,"PHILIPPINES:  COTABATO, SULTAN KUDARAT",6.91,125.156,10,6.5,0,10,0,29.6,4.7,18.7
usp000j227,2020-08-18,0,0,PHILIPPINES:  MASBATE,12.021,124.123,10,6.6,7,2,50,30.4,10.4,28.7
usp000hzjb,2012-03-05,0,0,PHILIPPINES:  MASBATE ISLAND,12.354,123.7,37,5.6,0,0,10,29.8,21.4,1.7
us2000je43,2011-03-03,0,0,PHILIPPINES:  MINDANAO,9.457,125.935,50,5.5,0,0,0,28.5,14.9,4.4
us10008fsd,2015-07-03,0,0,PHILIPPINES:  MINDANAO,10.169,125.891,32,6.1,0,1,0,0.0,0.0,0.0
us6000hmz8,2021-08-11,5801,0,PHILIPPINES:  MINDANAO,6.455,126.742,65,7.1,9,1,0,0.0,0.0,0.0
us2000a77i,2011-11-07,0,0,PHILIPPINES:  MINDANAO:  BUKIDNON PROVINCE,7.904,125.185,46,5.0,0,0,31,29.5,4.0,16.2
us2000fvfq,2019-11-18,0,0,PHILIPPINES:  MINDANAO:  BUKIDNON PROVINCE,7.625,124.912,0,5.9,6,0,16,33.9,3.9,2.4
usb000j65k,2019-10-16,0,0,"PHILIPPINES:  MINDANAO:  COTABATO, DAVAO",6.712,125.005,14,6.4,7,7,215,32.2,7.2,5.8
usp000jvjx,2019-10-29,0,0,"PHILIPPINES:  MINDANAO:  COTABATO, DAVAO",6.802,125.04,15,6.6,0,13,562,30.3,3.0,38.4
us10008jux,2019-12-15,0,0,PHILIPPINES:  MINDANAO:  DAVAO,6.708,125.188,22,6.8,0,13,210,31.5,6.1,19.4
us6000iayh,2019-07-09,0,0,"PHILIPPINES:  MINDANAO:  MAKILALA, TULUNAN",6.802,125.169,24,5.6,0,1,3,30.6,5.6,7.8
usb000kign,2013-06-01,0,0,"PHILIPPINES:  N. COTABATO:  KIMADZIL, KIBUGTONGAN",7.275,124.898,10,5.7,0,0,33,33.6,7.9,0.0
us70005ulv,2012-02-06,0,0,PHILIPPINES:  NEGROS ORIENTAL PROVINCE,9.999,123.206,11,6.7,0,51,112,26.9,18.4,28.1
us6000645n,2019-04-22,0,0,PHILIPPINES:  PAMPANGA PROVINCE,14.924,120.497,20,6.1,0,18,183,36.3,15.8,0.0
usc000taxu,2012-03-16,0,0,PHILIPPINES:  SURIGAO,10.037,125.633,18,5.8,0,0,55,28.5,24.4,2.7
us2000i6mv,2017-04-08,0,0,"PHILIPPINES: BATANGAS, CALABARZON",13.77,120.935,14,5.9,0,0,6,30.5,14.0,0.7
us7000e28e,2017-07-06,0,0,PHILIPPINES: LEYTE,11.127,124.629,11,6.5,9,4,448,29.6,7.5,7.3
us6000f5na,2017-08-22,0,0,PHILIPPINES: LEYTE: ORMOC,10.954,124.707,17,5.0,0,2,0,32.8,15.0,2.9
usb000khj3,2022-07-27,5855,0,PHILIPPINES: LUZON: ABRA,17.56,120.801,10,7.0,9,11,609,27.4,7.8,7.2
usp000j4q8,2022-10-25,0,0,PHILIPPINES: LUZON: ABRA,17.662,120.823,27,6.4,8,0,139,28.5,20.5,0.2
usp000js8q,2017-09-23,0,0,PHILIPPINES: MINDANAO: LANAO DEL SUR PROVINCE,7.562,124.743,8,5.7,0,0,11,30.4,5.8,0.2
usp000jsf8,2019-07-12,0,0,PHILIPPINES: MINDANAO: SURIGAO DEL SUR PROVINCE,9.334,126.04,14,5.8,0,0,59,29.8,12.1,2.1
us2000j47l,2017-04-28,5648,0,PHILIPPINES: SARANGANI,5.504,125.066,26,6.9,9,0,7,0.0,0.0,0.0
usp000jrc2,2017-02-10,0,0,PHILIPPINES: SURIGAO DEL NORTE,9.907,125.452,15,6.5,8,8,202,28.2,23.1,1.5
usp000jtg7,2017-03-05,0,0,PHILIPPINES: SURIGAO DEL NORTE,9.831,125.496,11,5.7,0,1,45,27.6,25.7,20.7
us7000hebv,2019-07-01,0,0,POLAND:  KATOWICE,50.287,18.997,0,3.1,0,3,6,36.3,25.3,2.8
us7000hjvj,2016-11-29,0,0,POLAND:  RUDNA,51.613,16.157,5,4.2,0,8,9,1.2,23.4,0.0
us7000i3mn,2019-01-12,0,0,POLAND:  RUDNA,51.547,16.111,1,3.7,0,1,6,4.3,25.2,2.4
us6000id05,2019-01-22,0,0,POLAND:  RYDULTOWY,50.11,18.456,5,3.9,0,1,8,-2.2,9.4,0.0
us6000iczk,2018-05-05,0,0,POLAND:  SILESIAN:  JASTRZEBIE-ZDROJ,50.124,18.683,1,4.1,0,5,2,20.5,19.7,0.0
us6000is3u,2022-04-23,0,0,POLAND:  SILESIAN:  JASTRZEBIE-ZDROJ,50.04,18.59,1,2.8,0,10,0,14.7,13.0,0.0
us70006ye2,2014-01-13,0,0,PUERTO RICO,19.043,-66.81,20,6.4,5,0,0,0.0,0.0,0.0
usp000jc9w,2010-05-16,0,0,"PUERTO RICO:  LARES, VEGA BAJA",18.4,-67.07,113,5.8,0,0,0,29.6,15.5,2.5
usp000jc9x,2020-01-07,5736,0,"PUERTO RICO:  PONCE,SAN JUAN",17.916,-66.813,10,6.4,8,4,0,29.4,21.6,0.8
usb000qe6z,2013-02-15,0,0,RUSSIA:  CHELYABINSK (METEOR EXPLOSION),55.15,61.41,0,4.2,0,0,1000,-8.1,9.9,0.0
usp000he8v,2013-06-18,0,0,RUSSIA:  KEMEROVO,54.263,86.173,10,5.3,0,0,0,17.2,17.9,0.0
usp000j1sz,2022-07-05,0,0,RUSSIA:  KEMEROVO,53.75,88.04,10,4.4,0,2,0,26.2,16.4,4.5
usb000h0fh,2013-04-19,5479,0,RUSSIA:  KURIL ISLANDS,46.221,150.788,110,7.2,0,0,0,0.0,0.0,0.0
usb000gdhn,2020-03-25,5746,0,RUSSIA:  KURIL ISLANDS,48.986,157.693,57,7.5,6,0,0,0.0,0.0,0.0
usb000gdfh,2011-12-27,0,0,RUSSIA:  KYZYL,51.842,95.911,15,6.7,0,0,0,-20.1,8.1,0.0
usp000h9bg,2012-08-14,0,0,RUSSIA:  SAKHALIN ISLAND,49.8,145.064,583,7.7,0,0,0,0.0,0.0,0.0
usp000ju1y,2013-05-24,0,0,RUSSIA:  SEVERO KURILSKIYE,54.892,153.221,598,8.3,0,0,0,0.0,0.0,0.0
usb000gz9g,2017-07-17,5654,0,RUSSIA: BERING ISLAND,54.443,168.857,10,7.7,8,0,0,0.0,0.0,0.0
us100088mq,2015-08-07,0,0,RWANDA:  BUKAVU,-2.141,28.897,11,5.8,4,3,30,14.5,10.7,0.0
us10002zzn,2016-09-23,0,0,RWANDA:  RISUZI; CONGO:  UKAVU,-2.65,29.06,10,4.8,0,8,0,23.6,8.7,1.1
us10002zzr,2021-05-25,0,7536,RWANDA: RUBAVU; CONGO,-1.601,29.4,10,4.7,7,32,0,30.4,9.4,0.0
usp000he2t,2013-11-17,5534,0,SCOTIA SEA:  SOUTH ORKNEY ISLANDS,-60.274,-46.401,10,7.7,0,0,0,0.0,0.0,0.0
usp000je09,2021-01-23,5762,0,SCOTIA SEA:  SOUTH SHETLAND ISLANDS,-61.825,-55.494,10,6.9,9,0,0,0.0,0.0,0.0
usp000h6ay,2010-01-03,4522,0,SOLOMON ISLANDS,-8.743,157.477,26,6.6,0,0,0,0.0,0.0,0.0
usp000jmvf,2010-01-03,4523,0,SOLOMON ISLANDS,-8.799,157.346,25,7.1,0,0,0,0.0,0.0,0.0
usp000jt6z,2010-01-05,4542,0,SOLOMON ISLANDS,-9.019,157.551,15,6.8,0,0,0,0.0,0.0,0.0
usc000pimf,2014-04-12,5559,0,SOLOMON ISLANDS,-11.27,162.148,23,7.6,0,0,0,0.0,0.0,0.0
usb000prqr,2014-04-13,5560,0,SOLOMON ISLANDS,-11.463,162.051,39,7.4,0,0,0,0.0,0.0,0.0
us10006rub,2015-07-10,5589,0,SOLOMON ISLANDS,-9.307,158.403,12,6.7,0,0,0,0.0,0.0,0.0
us20007zaq,2015-07-18,5588,0,SOLOMON ISLANDS,-10.401,165.141,11,7.0,8,0,0,0.0,0.0,0.0
us7000i7uj,2015-11-18,5722,0,SOLOMON ISLANDS,-8.899,158.422,13,6.8,4,0,0,0.0,0.0,0.0
usp000jncm,2016-12-08,5630,0,SOLOMON ISLANDS,-10.681,161.327,40,7.8,8,1,0,0.0,0.0,0.0
usb000l633,2016-12-09,5632,0,SOLOMON ISLANDS,-10.749,161.132,20,6.9,7,0,0,0.0,0.0,0.0
usb000l5zb,2013-02-06,5476,0,SOLOMON ISLANDS:  SANTA CRUZ ISLANDS,-10.799,165.114,24,7.9,8,10,15,0.0,0.0,0.0
usc000tsa0,2013-02-08,5477,0,SOLOMON ISLANDS:  SANTA CRUZ ISLANDS,-10.928,166.018,21,7.0,0,0,0,0.0,0.0,0.0
us10008eel,2012-07-25,0,0,SOLOMON ISLANDS: GUADALCANAL,-9.694,159.727,20,6.4,0,0,0,30.1,8.9,6.8
us6000c1np,2014-08-05,0,0,SOUTH AFRICA:  ORKNEY,-26.99,26.705,5,5.5,6,1,17,24.9,16.9,0.0
us7000feai,2018-05-03,0,0,SOUTH AFRICA:  WEST RAND,-26.4,27.5,0,2.1,0,7,6,24.0,21.7,0.1
us10006p1f,2016-09-12,0,0,SOUTH KOREA:  GYEONGJU,35.781,129.216,13,5.4,6,1,14,21.1,13.3,13.4
us6000f906,2017-11-15,0,0,SOUTH KOREA: POHANG,36.074,129.27,10,5.5,8,0,90,11.0,22.4,0.0
usp000h72y,2016-08-19,5605,0,SOUTH SANDWICH ISLANDS,-55.285,-31.877,10,7.4,0,0,0,0.0,0.0,0.0
usp000h6wk,2021-08-12,0,0,SOUTH SANDWICH ISLANDS,-57.596,-25.187,63,7.5,0,0,0,0.0,0.0,0.0
usp000h9dp,2021-08-12,5802,0,SOUTH SANDWICH ISLANDS,-58.416,-25.321,48,8.1,0,0,0,0.0,0.0,0.0
usp000j1en,2011-05-11,0,0,SPAIN:  LORCA,37.699,-1.672,1,5.1,0,10,0,23.9,15.2,0.0
usb000qxnd,2018-02-06,0,0,TAIWAN:  HUALIEN,24.134,121.659,17,6.4,0,17,291,12.0,17.7,3.3
us10001ps8,2019-04-18,0,0,TAIWAN:  HUALIEN,23.989,121.693,20,6.1,0,1,16,26.7,8.9,14.8
us20003jy9,2022-09-18,0,0,TAIWAN:  HUALIEN,23.159,121.316,10,6.9,9,1,140,23.1,6.0,1.5
usp000huhz,2013-06-02,0,0,TAIWAN:  JENAI,23.789,121.141,17,6.3,0,4,21,28.3,4.0,0.5
usp000jwpg,2010-03-04,0,0,TAIWAN:  KAO-HSIUNG,22.918,120.795,21,6.3,0,0,96,23.8,10.1,0.5
usc000taxi,2013-03-27,0,0,"TAIWAN:  NANTOU COUNTY, TAIPEI",23.828,121.215,19,6.0,0,1,86,15.5,6.9,2.1
usb000tp6y,2012-02-26,0,0,TAIWAN:  PINGTUNG,22.661,120.891,28,5.9,0,0,0,16.4,14.3,7.4
us20005zay,2016-02-05,0,0,TAIWAN:  TAINAN,22.97,120.46,10,6.4,7,117,525,21.4,12.4,1.9
us7000i91w,2015-04-20,0,0,TAIWAN:  TAIPEI,24.203,122.316,29,6.4,4,1,1,0.0,0.0,0.0
