Search Parameters,Year,Mo,Dy,Hr,Mn,Sec,Tsu,Vol,Location Name,Latitude,Longitude,Focal Depth (km),Mag,MMI Int,Deaths,Death Description,Missing,Missing Description,Injuries,Injuries Description,Damage ($Mil),Damage Description,Houses Destroyed,Houses Destroyed Description,Houses Damaged,Houses Damaged Description,Total Deaths,Total Death Description,Total Missing,Total Missing Description,Total Injuries,Total Injuries Description,Total Damage ($Mil),Total Damage Description,Total Houses Destroyed,Total Houses Destroyed Description,Total Houses Damaged,Total Houses Damaged Description,Temp_C,Wind_ms,Precip_mm
,2010,8,27,19.0,23.0,49.5,,,IRAN:  DAMGHAN-TORUD,35.49,54.47,7.0,5.7,,3.0,1.0,,,200.0,3.0,,3.0,700.0,3.0,,,3.0,1.0,,,200.0,3.0,,3.0,700.0,3.0,,,33.6,21.1,0.0
,2010,8,29,0.0,53.0,31.4,,,"CHINA:  SICHUAN PROVINCE: NINGANG, ZIAOJIA",27.197,103.005,35.0,4.9,,,,,,14.0,1.0,,3.0,,,1001.0,4.0,,,,,14.0,1.0,,3.0,,,1001.0,4.0,20.6,6.2,0.1
,2010,9,3,16.0,35.0,47.7,,,NEW ZEALAND:  CHRISTCHURCH,-43.522,171.83,12.0,7.0,9.0,,,,,2.0,1.0,6500.0,4.0,,,,3.0,,,,,2.0,1.0,6500.0,4.0,,,,3.0,0.7,8.7,3.9
,2010,9,6,11.0,24.0,1.5,,,NEW ZEALAND:  SOUTH ISLAND:  CHRISTCHURCH,-43.57,172.388,9.0,5.0,5.0,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,10.8,28.0,1.2
,2010,9,6,22.0,48.0,33.2,,,NEW ZEALAND:  NORTH ISLAND:  PORANGAHAU,-40.433,176.818,21.0,5.1,6.0,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,16.8,48.1,2.7
,2010,9,7,19.0,49.0,57.4,,,NEW ZEALAND:  SOUTH ISLAND:  CANTERBURY,-43.598,172.69,6.0,5.0,7.0,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,9.6,12.2,10.1
,2010,9,10,17.0,24.0,16.6,,,BANGLADESH:  NARAYANGANJ,23.407,90.648,10.0,4.8,5.0,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,31.9,14.1,8.4
,2010,9,27,11.0,22.0,46.0,,,IRAN:  SHIRAZ,29.647,51.665,27.0,5.8,,1.0,1.0,,,3.0,1.0,,1.0,,1.0,,,1.0,1.0,,,3.0,1.0,,1.0,,1.0,,,35.6,14.8,0.1
,2010,10,10,21.0,44.0,25.9,,,"PAKISTAN:  KHANPUR, HARIPUR",33.869,72.887,33.0,5.2,,1.0,1.0,,,15.0,1.0,,2.0,,,100.0,1.0,1.0,1.0,,,15.0,1.0,,1.0,,,100.0,2.0,32.2,13.0,0.0
,2010,10,25,14.0,42.0,22.0,5342.0,,INDONESIA:  SUMATRA,-3.487,100.082,20.0,7.8,,,,,,,,,,,,,,431.0,3.0,,,,,39.0,4.0,700.0,3.0,,,,,
,2010,11,3,0.0,56.0,55.0,,,BALKANS NW: SERBIA:  KRALJEVO,43.76,20.673,1.0,5.5,6.0,2.0,1.0,,,100.0,2.0,,3.0,1000.0,3.0,5000.0,4.0,2.0,1.0,,,100.0,2.0,,3.0,1000.0,3.0,5000.0,4.0,19.7,9.8,0.0
,2010,11,6,3.0,52.0,20.0,,,IRAN:  DORUD-RAZAN,33.37,48.94,5.0,4.9,,,,,,104.0,3.0,,1.0,,,,2.0,,,,,104.0,2.0,,1.0,,,,2.0,19.2,7.0,0.0
,2010,11,12,9.0,37.0,19.9,,,PAKISTAN:  QUETTA,30.178,67.117,27.0,4.7,,,,,,12.0,1.0,,1.0,,,,2.0,,,,,12.0,1.0,,1.0,,,,2.0,12.6,9.8,0.0
