Fecha,Tsu,Vol,Location Name,Latitude,Longitude,Focal_Depth_km,Mag,MMI_Int,Total_Deaths,Total_Injuries,Temp_C,Wind_ms,Precip_mm
2011-01-18,0.0,0.0,"PAKISTAN: GARHI KHAIRO, QUETTA, BALOCHISTAN",28.777,63.951,68.0,7.2,0.0,3.0,0.0,19.4,15.7,0.0
2011-02-01,0.0,0.0,CHINA:  YUNNAN PROVINCE:  PINGYUAN,24.693,97.943,31.0,4.8,0.0,0.0,1.0,23.9,11.7,0.0
2011-02-04,0.0,0.0,MYANMAR (BURMA):  MONYWA,24.618,94.68,85.0,6.3,0.0,1.0,0.0,27.8,7.3,0.0
2011-02-11,5406.0,0.0,CHILE:  OFF COAST CENTRAL,-36.474,-73.125,28.0,6.8,0.0,0.0,0.0,21.3,20.5,0.0
2011-02-17,0.0,0.0,COLORADO:  PAONIA,38.947,-107.497,1.0,3.1,0.0,0.0,0.0,7.9,18.1,3.1
2011-02-21,5407.0,0.0,"NEW ZEALAND:  CHRISTCHURCH, LYTTELTON",-43.583,172.68,6.0,6.1,0.0,185.0,1500.0,23.0,20.7,9.1
2011-03-03,0.0,0.0,PHILIPPINES:  MINDANAO,9.457,125.935,50.0,5.5,0.0,0.0,0.0,28.5,14.9,4.4
2011-03-09,5412.0,0.0,JAPAN:  HONSHU:  E COAST,38.435,142.842,32.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-10,0.0,0.0,CHINA:  YUNNAN PROVINCE:  PINGYUAN,24.719,97.969,26.0,5.5,0.0,25.0,250.0,29.7,15.5,0.1
2011-03-11,5413.0,0.0,JAPAN:  HONSHU,38.297,142.372,30.0,9.1,0.0,18428.0,6167.0,0.0,0.0,0.0
2011-03-11,0.0,0.0,JAPAN:  NEAR E COAST HONSHU,36.281,141.111,43.0,7.9,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-11,0.0,0.0,JAPAN:  OFF EAST COAST HONSHU,38.058,144.59,19.0,7.6,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-24,0.0,0.0,MYANMAR:  TACHILEK,20.687,99.822,8.0,6.8,0.0,104.0,123.0,32.6,7.7,0.0
