id,mag,place,time,updated,felt,cdi,mmi,status,tsunami,sig,net,code,ids,sources,types,nst,dmin,rms,gap,magType,type,lon,lat,depth,dist
hv73243727,1.81,,2022-11-29 04:31:23.670,2022-11-29 04:52:30.400,,,,reviewed,0,50,hv,73243727,",hv73243727,",",hv,",",origin,phase-data,",32.0,0.0587,0.22,89.0,md,earthquake,-155.548666666667,19.5103333333333,10.0,16
hv73243717,2.42,"31 km NNW of P?hala, Hawaii",2022-11-29 04:27:07.290,2022-11-29 04:32:38.520,,,,automatic,0,90,hv,73243717,",hv73243717,",",hv,",",origin,phase-data,",19.0,0.0587,0.239999995,78.0,ml,earthquake,-155.559005737305,19.4743328094482,10.0,16
hv73243712,2.18,"Island of Hawaii, Hawaii",2022-11-29 04:26:35.060,2022-11-29 04:40:50.890,,,,reviewed,0,73,hv,73243712,",hv73243712,",",hv,",",origin,phase-data,",16.0,0.0587,0.19,74.0,md,earthquake,-155.6,19.5331666666667,10.0,16
nc73812651,1.0,"7km WNW of Cobb, CA",2022-11-29 04:22:33.150,2022-11-29 04:49:13.414,,,,automatic,0,15,nc,73812651,",nc73812651,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",22.0,0.01242,0.02,63.0,md,earthquake,-122.8061676,38.8371658,10.0,16
nc73812646,0.85,"7km WNW of Cobb, CA",2022-11-29 04:18:45.070,2022-11-29 04:36:14.344,,,,automatic,0,11,nc,73812646,",nc73812646,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",11.0,0.007598,0.01,71.0,md,earthquake,-122.7994995,38.8358345,10.0,16
hv73243692,2.21,"Island of Hawaii, Hawaii",2022-11-29 04:16:31.630,2022-11-29 04:33:18.850,,,,reviewed,0,75,hv,73243692,",hv73243692,",",hv,",",origin,phase-data,",33.0,0.0587,0.14,86.0,ml,earthquake,-155.498166666667,19.474,10.0,16
ak022faseazq,1.9,"17 km S of Tatitlek, Alaska",2022-11-29 04:09:34.786,2022-11-29 04:11:44.023,,,,automatic,0,56,ak,022faseazq,",ak022faseazq,",",ak,",",origin,phase-data,",1.0,0.0587,0.72,110.0,ml,earthquake,-146.6984,60.7047,18.5,16
ok2022xiwz,2.1,,2022-11-29 04:00:54.679,2022-11-29 13:22:52.636,,,,reviewed,0,68,ok,2022xiwz,",ok2022xiwz,",",ok,",",origin,phase-data,",93.0,0.154,0.15,46.0,ml,earthquake,-96.824,35.49033333,13.6,16
us7000it66,2.5,"106 km WSW of Ferndale, California",2022-11-29 03:58:18.907,2022-11-29 23:10:37.040,,,,reviewed,0,96,us,7000it66,",us7000it66,",",us,",",origin,phase-data,",15.0,0.154,0.53,180.0,ml,earthquake,-125.4641,40.2991,10.0,16
hv73243657,2.58,"33 km W of Volcano, Hawaii",2022-11-29 03:57:57.000,2022-11-29 23:06:33.040,,,,reviewed,0,102,hv,73243657,",us7000it67,hv73243657,",",us,hv,",",origin,phase-data,",33.0,0.0587,0.17,80.0,ml,earthquake,-155.545333333333,19.4975,10.0,16
